ISBN	Book-Title	Book-Author	Year-Of-Publication
829	038550926X	The Devil Wears Prada : A Novel	LAUREN WEISBERGER	2003
830	0552998001	Blackberry Wine	Joanne Harris	2001
831	0671004530	On the Street Where You Live	Mary Higgins Clark	2002
832	0440226414	Fortune's Hand	Belva Plain	2000
833	0060959037	Prodigal Summer: A Novel	Barbara Kingsolver	2001
834	0805036377	M Is for Malice (Kinsey Millhone Mysteries (Hardcover))	Sue Grafton	1996
835	0312244266	Winter Solstice	Rosamunde Pilcher	2000
836	0446600342	Where There's Smoke	Sandra Brown	1994
837	0452282829	We Were the Mulvaneys	Joyce Carol Oates	1996
838	034540761X	The Final Judgment	Richard North Patterson	1997
839	0393312836	A Clockwork Orange (Norton Paperback Fiction)	Anthony Burgess	1986
840	0515093556	Belinda	Anne Rice	1994
841	0385722206	Balzac and the Little Chinese Seamstress : A Novel	DAI SIJIE	2002
842	0679732411	Gift from the Sea	Anne Morrow Lindbergh	1991
843	0446606243	The Tenth Justice	Brad Meltzer	1998
844	0316785261	The Fig Eater : A Novel	Jody Shields	2001
845	0142001430	Year of Wonders	Geraldine Brooks	2002
846	080410526X	All I Really Need to Know	ROBERT FULGHUM	1989
847	031242227X	Running with Scissors: A Memoir	Augusten Burroughs	2003
848	0679721037	Hiroshima	John Hersey	1989
849	0140270590	A New Song (Mitford Years (Paperback))	Jan Karon	2000
850	0440235596	Tara Road	Maeve Binchy	2000
851	0375504907	Reading Lolita in Tehran : A Memoir in Books	AZAR NAFISI	2003
852	0441627404	The Once and Future King	T. H. White	1987
853	0553562738	Doomsday Book	Connie Willis	1993
854	038549081X	The Handmaid's Tale : A Novel	Margaret Atwood	1998
855	0552998486	Chocolat	Joanne Harris	2000
856	0439139597	Harry Potter and the Goblet of Fire (Book 4)	J. K. Rowling	2000
857	0441005489	Redwall (Redwall, Book 1)	Brian Jacques	1998
858	0440180295	Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death	Kurt Vonnegut	1991
859	0380805995	Kiss of the Bees: A Novel of Suspense	J.A. Jance	2001
860	0449003795	P Is for Peril	Sue Grafton	2002
861	0446322180	Name of the Rose-Nla	Umberto Eco	1984
862	1551668998	Beach House	Mary Alice Monroe	2002
863	0446519081	The Tenth Insight : Holding the Vision	James Redfield	1996
864	044651862X	The Celestine Prophecy (Celestine Prophecy)	James Redfield	1994
865	0874776945	The Artist's Way : A Spiritual Path to Higher Creativity	Julia Cameron	1992
866	043935806X	Harry Potter and the Order of the Phoenix (Book 5)	J. K. Rowling	2003
867	0425158640	Idoru	William Gibson	1997
868	042513525X	Hideaway	Dean R. Koontz	1992
869	0451156609	The Tommyknockers	Stephen King	1994
870	1400031354	Tears of the Giraffe (No.1 Ladies Detective Agency)	Alexander McCall Smith	2002
871	0671695169	Midnight Whispers (Cutler)	V.C. Andrews	1992
872	0671695142	Twilight's Child (Cutler)	V.C. Andrews	1992
873	0446608955	A Walk to Remember	Nicholas Sparks	2000
874	0440204194	Firefly Summer	Maeve Binchy	1989
875	0440414806	Holes (Yearling Newbery)	LOUIS SACHAR	2000
876	014038572X	The Outsiders (Now in Speak!)	S. E. Hinton	1997
877	0440241073	The Summons	John Grisham	2002
878	0553287303	Second Child	John Saul	1997
879	0451190521	The Green Mile: The Mouse on the Mile (Green Mile Series)	Stephen King	1996
880	0451190491	The Two Dead Girls (Green Mile Series)	Stephen King	1996
881	0449227421	The Third Twin	Ken Follett	1997
882	0451167716	The Godfather	Mario Puzo	2004
883	0446606324	The Winner	David Baldacci	1998
884	0446604089	The Best Laid Plans	Sidney Sheldon	1998
885	0449213447	The Chosen	Chaim Potok	1995
886	0446670251	The Virgin Suicides	Jeffrey Eugenides	1994
887	0425154092	From Potter's Field	Patricia Daniels Cornwell	1996
888	0425179613	It's Not About the Bike: My Journey Back to Life	Lance Armstrong	2001
889	0375724370	Anil's Ghost (Vintage International)	Michael Ondaatje	2001
890	0671014196	The Summerhouse	Jude Deveraux	2002
891	0871136791	Cold Mountain	Charles Frazier	1997
892	0553380095	The Heart of a Woman	Maya Angelou	1997
893	0525945938	Scarlet Feather	Maeve Binchy	2001
894	0385475721	The Blind Assassin	Margaret Atwood	2000
895	1551667509	Haunted	Heather Graham	2003
896	0679405283	The Tale of the Body Thief (Vampire Chronicles)	Anne Rice	1992
897	0515137111	Birthright	Nora Roberts	2004
898	0375406182	Plainsong	Kent Haruf	1999
899	0553271636	D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback))	Sue Grafton	1988
900	0345389964	A Son of the Circus	John Irving	1995
901	0679751521	Midnight in the Garden of Good and Evil	John Berendt	1999
902	0312966091	Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel)	Janet Evanovich	1998
903	0375504613	A Short Guide to a Happy Life	ANNA QUINDLEN	2000
904	0671001795	Two for the Dough	Janet Evanovich	1996
905	0553274295	Where the Red Fern Grows	Wilson Rawls	1984
906	0446600253	Bless Me, Ultima	Rudolfo Anaya	1994
907	0316782262	All He Ever Wanted	Anita Shreve	2003
908	0446530387	Stone Kiss (Peter Decker &amp; Rina Lazarus Novels (Hardcover))	Faye Kellerman	2002
909	0375413634	The Emperor of Ocean Park (Today Show Book Club #1)	Stephen L. Carter	2002
910	0670031062	Must Love Dogs: A Novel	Claire Cook	2002
911	0679439382	The Little Friend	Donna Tartt	2002
912	0061098035	Burn Factor	Kyle Mills	2002
913	0804108749	Saint Maybe	ANNE TYLER	1992
914	0425121631	Rules of Prey	John Sandford	1992
915	0345402308	Fourth Procedure	STANLEY POTTINGER	1995
916	0425153975	The Eyes of Darkness	Dean R. Koontz	1996
917	0425119653	Mutation	Robin Cook	1991
918	0553579983	And Then You Die	Iris Johansen	1998
919	0399149325	Portrait of a Killer: Jack the Ripper -- Case Closed	Patricia Cornwell	2002
920	0446611808	Envy	Sandra Brown	2002
921	0425178579	Betrayal in Death	Nora Roberts	2001
922	1551669498	Girls Night	Stef Ann Holm	2002
923	0553802496	Odd Thomas	Dean Koontz	2003
924	0316603287	The Lake House	James Patterson	2003
925	0553580515	Passage	Connie Willis	2002
926	0451208765	Sleep No More	Greg Iles	2003
927	0618129022	The Lord of the Rings (Movie Art Cover)	J.R.R. Tolkien	2001
928	0345423402	A Kiss of Shadows (Meredith Gentry Novels (Paperback))	LAURELL K. HAMILTON	2002
929	0743454146	The Footprints of God : A Novel	Greg Iles	2004
930	0312144075	The Samurai's Garden : A Novel	Gail Tsukiyama	1996
931	0786868619	Stolen Lives: Twenty Years in a Desert Jail	Malika Oufkir	2001
932	0671723650	How To Win Friends And Influence People	Dale Carnegie	1990
933	0451167317	The Dark Half	Stephen King	1994
934	0345396936	Cry to Heaven	Anne Rice	1995
935	0425173631	Witness in Death (Eve Dallas Mysteries (Paperback))	J. D. Robb	2004
936	0553212451	The Jungle (Bantam Classics)	Upton Sinclair	1981
937	0679454489	Merrick (Vampire Chronicles)	Anne Rice	2000
938	0425176304	Judgment in Death	J. D. Robb	2004
939	0679720200	The Stranger	ALBERT CAMUS	1989
940	0312983271	Full House (Janet Evanovich's Full Series)	Janet Evanovich	2002
941	0446670111	Einstein's Dreams	Alan Lightman	1994
942	0312979096	Now You See Me	Tina Wainscott	2002
943	0553284789	F Is for Fugitive (Kinsey Millhone Mysteries (Paperback))	Sue Grafton	1990
944	0553279556	E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback))	Sue Grafton	1989
945	0345420438	The Tailor of Panama	John Le Carre	1997
946	0451191013	The Regulators	Stephen King	2002
947	0375725849	Perfume: The Story of a Murderer (Vintage International)	Patrick Suskind	2001
948	0671701231	The Anastasia Syndrome	Mary Higgins Clark	1991
949	0446605409	Plum Island	Nelson DeMille	1998
950	0553280414	A Separate Peace	John Knowles	1985
951	0373484232	Stanislaski Sisters	Nora Roberts	2001
952	0064471837	Sabriel (The Abhorsen Trilogy)	Garth Nix	1997
953	0345366239	The Eight	Katherine Neville	1995
954	0330262130	Restaurant At the End of the Universe	Douglas Adams	0
955	0684832178	CHOCOLATE FOR A WOMANS SOUL : 77 STORIES TO FEED YOUR SPIRIT AND WARM YOUR HEART (Chocolate)	Kay Allenbaugh	1997
956	0812969812	Blessings : A Novel	ANNA QUINDLEN	2003
957	0451163524	The Drawing of the Three (The Dark Tower, Book 2)	Stephen King	1997
958	0452280621	Beloved	Toni Morrison	1998
959	0451166582	The Eyes of the Dragon	Stephen King	2001
960	0671026011	The Empty Chair	Jeffery Deaver	2001
961	0609804138	The Sweet Potato Queens' Book of Love	JILL CONNER BROWNE	1999
962	0345439104	Drowning Ruth (Oprah's Book Club)	CHRISTINA SCHWARZ	2001
963	0061031410	Courting Trouble	Lisa Scottoline	2003
964	0553575384	To Say Nothing of the Dog	Connie Willis	1998
965	0061031070	Moving Target	Elizabeth Lowell	2002
966	0425180638	The Last Precinct	Patricia Cornwell	2001
967	0441009239	Living Dead in Dallas (Southern Vampire Mysteries)	Charlaine Harris	2002
968	0441008534	Dead Until Dark (Southern Vampire Mysteries)	Charlaine Harris	2001
969	0312924801	September	Rosamunde Pilcher	1991
970	0316693251	Roses Are Red	James Patterson	2000
971	0679735909	Possession : A Romance	A.S. BYATT	1991
972	0380716542	Birds of Prey: A Novel of Suspense	J.A. Jance	2002
973	0451523377	Dracula (Signet Classics (Paperback))	Bram Stoker	1997
974	0449221490	L Is for Lawless	Sue Grafton	1996
975	015602943X	The Time Traveler's Wife (Harvest Book)	Audrey Niffenegger	2004
976	0553287893	Rendezvous with Rama	Arthur C. Clarke	1990
977	0060921145	Animal Dreams	Barbara Kingsolver	1991
978	0425121259	The Servants of Twilight	Dean R. Koontz	1996
979	0061030430	Long Time No See	Susan Isaacs	2002
980	0553572210	Silent Treatment	Michael Palmer	1996
981	0553288342	Sleepwalk	John Saul	1997
982	0446353205	The Charm School	Nelson DeMille	1989
983	0440224853	The Ghost	Danielle Steel	1998
984	0345404114	Sleepers	Lorenzo Carcaterra	1996
985	0007110928	Billy	Pamela Stephenson	2002
986	0671027662	Coast Road: A Novel	Barbara Delinsky	1999
987	0671742515	Long Dark Tea Time of the Soul	Douglas Adams	1991
988	0345427637	The Angel of Darkness	Caleb Carr	1998
989	0385474547	Things Fall Apart : A Novel	CHINUA ACHEBE	1994
990	0671020293	Butterfly (Orphans)	V.C. Andrews	1998
991	0860074382	84 Charing Cross Road	Helene Hanff	0
992	0330267388	Life,the Universe and Everything	Douglas Adams	0
993	0671042572	Jewel (Oprah's Book Club)	Bret Lott	1999
994	0451209907	Quentins	Maeve Binchy	2003
995	0449221512	I Is for Innocent	Sue Grafton	1994
996	0061013315	The Eleventh Commandment	Jeffrey Archer	1999
997	1400031362	Morality for Beautiful Girls (No.1 Ladies Detective Agency)	Alexander McCall Smith	2002
998	0449223612	N Is for Noose	Sue Grafton	1999
999	0449221180	Native Tongue	Carl Hiaasen	1992
1000	0440998050	A Wrinkle in Time	Madeleine L'Engle	1976
1001	1565122968	Gap Creek: A Novel	Robert Morgan	2000
1002	0679745203	The English Patient	Michael Ondaatje	1996
1003	0345449347	The Fourth Hand	John Irving	2002
1004	0375701907	Straight Man : A Novel (Vintage Contemporaries)	RICHARD RUSSO	1998
1005	0375705198	Amy and Isabelle : A novel	ELIZABETH STROUT	2000
1006	0894808249	All I Need to Know I Learned from My Cat	Suzy Becker	1990
1007	044021873X	Windy City Blues (V.I. Warshawski Novels (Paperback))	Sara Paretsky	1996
1008	0449223345	A Pirate Looks at Fifty	Jimmy Buffett	1999
1009	0679412956	Lasher	Anne Rice	1993
1010	0552143774	Horse Whisperer	Nicholas Evans	0
1011	0142004278	Big Fish	Daniel Wallace	2003
1012	0671670689	Dawn (Cutler)	V.C. Andrews	1990
1013	0446605581	Fat Tuesday	Sandra Brown	1998
1014	0515126489	Critical Mass	Steven Paul Martini	1999
1015	0316693294	Cat and Mouse	James Patterson	1997
1016	0553096834	Couplehood	Paul Reiser	1994
1017	0345334019	Escape the Night	Richard North Patterson	1995
1018	0553574663	The Grilling Season	Diane Mott Davidson	1998
1019	0553279378	I Know Why the Caged Bird Sings	MAYA ANGELOU	1983
1020	0425135721	McNally's Secret (Archy McNally Novels (Paperback))	Lawrence Sanders	1994
1021	0553292722	Still Waters	TAMI HOAG	1992
1022	0380721643	Track of the Cat (Anna Pigeon Mysteries (Paperback))	Nevada Barr	1994
1023	0345354621	The Terminal Man	Michael Crichton	1988
1024	0446391301	Geek Love	Katherine Dunn	1993
1025	0440224705	Hard Time (V.I. Warshawski Novels (Paperback))	SARA PARETSKY	2000
1026	0312983867	Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)	Janet Evanovich	2003
1027	0345459202	Big Stone Gap	Adriana Trigiani	2003
1028	0684800713	Sun Also Rises	Ernest Hemingway	1995
1029	1400031346	The No. 1 Ladies' Detective Agency	Alexander McCall Smith	2002
1030	0446612626	Reversible Errors	Scott Turow	2003
1031	051511264X	Prime Witness	Steven Paul Martini	1994
1032	0345389417	Servant of the Bones	Anne Rice	1998
1033	0425147584	Debt of Honor (Jack Ryan Novels)	Tom Clancy	1997
1034	0684853523	On Writing	Stephen King	2000
1035	0446363669	The Doomsday Conspiracy	Sidney Sheldon	1992
1036	0452283442	The Darwin Awards: Evolution in Action	Wendy Northcutt	2002
1037	0345404319	Taltos: Lives of the Mayfair Witches	Anne Rice	1996
1038	0451168615	Skeleton Crew	Stephen King	1986
1039	1853260010	Wuthering Heights (Wordsworth Classics)	Emily Bronte	1997
1040	0553560735	Red Mars (Mars Trilogy)	Kim Stanley Robinson	1993
1041	0553106651	Seize the Night	DEAN KOONTZ	1998
1042	0684853507	BAG OF BONES : A NOVEL	Stephen King	1998
1043	0670865796	The Deep End of the Ocean (Oprah's Book Club (Hardcover))	Jacquelyn Mitchard	1996
1044	0316603570	3rd Degree	James Patterson	2004
1045	0312289723	Ten Big Ones: A Stephanie Plum Novel	Janet Evanovich	2004
1046	0425192725	Q Is for Quarry	Sue Grafton	2003
1047	0380792745	The Lust Lizard of Melancholy Cove	Christopher Moore	2000
1048	0375412530	Back When We Were Grownups: A Novel	ANNE TYLER	2001
1049	0553569031	Gone But Not Forgotten	PHILLIP M. MARGOLIN	1994
1050	0804114609	Patty Jane's House of Curl	Lorna Landvik	1999
1051	0345438825	Angry Housewives Eating Bon Bons	LORNA LANDVIK	2003
1052	0670894508	Cause Celeb	Helen Fielding	2001
1053	0385729340	The Second Summer of the Sisterhood	ANN BRASHARES	2003
1054	0517122707	A Confederacy of Dunces	John Kennedy Toole	1995
1055	031298328X	Full Tilt (Janet Evanovich's Full Series)	Janet Evanovich	2003
1056	0451205626	Cold Paradise (Stone Barrington Novels (Paperback))	Stuart Woods	2002
1057	0449223043	Guardian	John Saul	1995
1058	0553284118	Creature	John Saul	1990
1059	0345423135	The Magic Circle	Katherine Neville	1999
1060	0380728133	Bloodsucking Fiends: A Love Story	Christopher Moore	1996
1061	0449003981	A Patchwork Planet (Ballantine Reader's Circle)	Anne Tyler	1999
1062	0345435168	Open House (Oprah's Book Club (Paperback))	Elizabeth Berg	2001
1063	0380730847	The Forgotten (Peter Decker &amp; Rina Lazarus Novels (Paperback))	Faye Kellerman	2002
1064	0345441265	The Ladies Auxiliary (Ballantine Reader's Circle)	Tova Mirvis	2000
1065	0440221595	The Glass Lake	Maeve Binchy	1996
1066	0525947299	No Second Chance	Harlan Coben	2003
1067	0671038443	The Devil's Teardrop	Jeffery Deaver	2000
1068	0440222656	The Horse Whisperer	Nicholas Evans	1996
1069	0316899984	River, Cross My Heart	Breena Clarke	1999
1070	0441478123	The Left Hand of Darkness (Remembering Tomorrow)	Ursula K. Le Guin	1991
1071	044922046X	Catering to Nobody	Diane Mott Davidson	1995
1072	0553572040	Killer Pancake	Diane Mott Davidson	1996
1073	0380814803	The Pursuit (Avon Historical Romance)	Johanna Lindsey	2003
1074	0064472272	Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson	Louise Rennison	2001
1075	0515128600	The Edge	Catherine Coulter	2000
1076	0553583980	True Blue	Luanne Rice	2002
1077	0515121843	Sea Swept (Quinn Brothers (Paperback))	Nora Roberts	2001
1078	0312952716	A Simple Plan	Scott Smith	1994
1079	0399147195	P Is for Peril (Kinsey Millhone Mysteries (Hardcover))	Sue Grafton	2001
1080	0312265840	Seven Up (A Stephanie Plum Novel)	Janet Evanovich	2001
1081	0743206029	On the Street Where You Live : A Novel	Mary Higgins Clark	2001
1082	0380725827	Firestorm (Anna Pigeon Mysteries (Paperback))	Nevada Barr	1997
1083	0684835959	YOU BELONG TO ME	Mary Higgins Clark	1998
1084	0786884592	Life Strategies: Doing What Works, Doing What Matters	Phillip C. McGraw	2000
1085	0316780375	The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion	Anita Shreve	1998
1086	0743436210	Hearts in Atlantis	Stephen King	2001
1087	0440236738	Gone for Good	HARLAN COBEN	2003
1088	0446604844	Total Control	David Baldacci	1997
1089	0380817691	Stalker: A Peter Decker and Rina Lazarus Novel	Faye Kellerman	2001
1090	0553582526	Dust to Dust	TAMI HOAG	2002
1091	0684859734	Grave Secrets (Temperance Brennan Novel (Hardcover))	Kathy Reichs	2002
1092	0451173139	Night over Water	Ken Follett	1992
1093	0671038567	Body of Evidence	Patricia Cornwell	1999
1094	0553578316	Sticks &amp; Scones	Diane Mott Davidson	2002
1095	0743225325	Good Harbor: A Novel	Anita Diamant	2001
1096	0446365386	Gone with the Wind	Margaret Mitchell	1993
1097	0446527017	Standoff	Sandra Brown	2000
1098	0425100650	Twilight Eyes	Dean R. Koontz	1995
1099	0373218036	Truly, Madly Manhattan	Nora Roberts	2003
1100	0671047329	The Third Option	Vince Flynn	2001
1101	0515125628	The Target	Catherine Coulter	1999
1102	055357695X	Out of the Shadows (Shadows Trilogy (Paperback))	Kay Hooper	2000
1103	0553572326	Survival of the Fittest: An Alex Delaware Novel	Jonathan Kellerman	1998
1104	0140113428	The Cat Who Came for Christmas	Cleveland Amory	1989
1105	0553278398	Prelude to Foundation (Foundation Novels (Paperback))	ISAAC ASIMOV	1989
1106	0140177396	Of Mice and Men (Penguin Great Books of the 20th Century)	John Steinbeck	1993
1107	0451186923	The Deep End of the Ocean	Jacquelyn Mitchard	1997
1108	0553280341	B Is for Burglar (Kinsey Millhone Mysteries (Paperback))	Sue Grafton	1986
1109	0553280368	C Is for Corpse (Kinsey Millhone Mysteries (Paperback))	Sue Grafton	1987
1110	0812570944	What Dreams May Come : A Novel	Richard Matheson	1998
1111	0451176464	Gerald's Game	Stephen King	2001
1112	0671894455	FORREST GUMP (Movie Tie in)	Winston Groom	1994
1113	0451186362	Rose Madder	Stephen King	2004
1114	0345354613	Eaters of the Dead	MICHAEL CRICHTON	1988
1115	0140430725	Pride and Prejudice (The Penguin English Library, El 72)	Jane Austen	1985
1116	0441569595	Neuromancer (Remembering Tomorrow)	William Gibson	1995
1117	0425147363	Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback))	Tom Clancy	1995
1118	0671024094	The Coffin Dancer (Lincoln Rhyme Novels (Paperback))	Jeffery Deaver	1999
1119	0345301110	Story of O	Pauline Reage	1989
1120	044022425X	Drums of Autumn	DIANA GABALDON	1997
1121	0440217563	Voyager	DIANA GABALDON	1994
1122	014023313X	The Stone Diaries	Carol Shields	1995
1123	0425141233	Winter Prey	John Sandford	2004
1124	0671016776	Gravity : A Novel of Medical Suspense	Tess Gerritsen	2000
1125	006001203X	Dr. Atkins' New Diet Revolution	Robert C. Atkins	2001
1126	0440207622	Daddy	DANIELLE STEEL	1990
1127	0671759329	Darkest Hour (Cutler)	V.C. Andrews	1993
1128	0375506039	Open House	Elizabeth Berg	2000
1129	0345435028	What We Keep	Elizabeth Berg	2002
1130	0345453816	Killjoy	Julie Garwood	2003
1131	0553583956	Safe Harbor	Luanne Rice	2003
1132	0671729411	Flowers In The Attic (Dollanganger)	V.C. Andrews	1990
1133	0553568701	Bad Love (Alex Delaware Novels (Paperback))	Jonathan Kellerman	1994
1134	0060083948	Tishomingo Blues	Elmore Leonard	2002
1135	0316788228	The Pilot's Wife	Anita Shreve	2001
1136	0140067779	Obasan	Joy Kogawa	1983
1137	0345345738	Women in His Life	Barbara Taylor Bradford	1994
1138	0441172717	Dune (Remembering Tomorrow)	Frank Herbert	1996
1139	0743246071	The Queen's Fool : A Novel	Philippa Gregory	2004
1140	0743417682	From a Buick 8	Stephen King	2003
1141	0385507593	Jennifer Government : A Novel	Max Barry	2003
1142	0553278274	A Night to Remember	WALTER LORD	1997
1143	0553571885	A Thin Dark Line (Mysteries &amp; Horror)	TAMI HOAG	1998
1144	014034294X	Matilda	Roald Dahl	1990
1145	034538430X	TickTock	Dean R. Koontz	1997
1146	0553576801	The Perfect Husband	LISA GARDNER	1997
1147	0553285785	Public Secrets	Nora Roberts	1990
1148	0373484410	Time And Again	Nora Roberts	2001
1149	0553578022	The Face of Deception	Iris Johansen	1999
1150	0449219364	G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback))	Sue Grafton	1991
1151	0743227441	The Other Boleyn Girl	Philippa Gregory	2002
1152	0671024108	Speaking in Tongues	Jeffery Deaver	2002
1153	0345433491	Hanna's Daughters (Ballantine Reader's Circle)	Marianne Fredriksson	1999
1154	1558743316	A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper))	Jack Canfield	1994
1155	0553275976	The Bonfire of the Vanities	Tom Wolfe	1988
1156	0140092323	Lake Wobegon days	Garrison Keillor	1986
1157	0425191583	Imitation in Death (Eve Dallas Mysteries (Paperback))	J. D. Robb	2004
1158	0440225817	Acts of Malice	Perri O'Shaughnessy	2000
1159	0553578308	Tough Cookie	Diane Mott Davidson	2001
1160	0440901588	A Swiftly Tilting Planet	Madeleine L'Engle	1979
1161	051513225X	Pendragon	Catherine Coulter	2002
1162	0515129933	The Scottish Bride (Bride Trilogy (Paperback))	Catherine Coulter	2001
1163	0515103292	When Rabbit Howls	Truddi Chase	1990
1164	0345422406	Merrick (Vampire/Witches Chronicles)	Anne Rice	2001
1165	0451190548	The Green Mile: Coffey's Hands (Green Mile Series)	Stephen King	1996
1166	0671553046	Life Support	Tess Gerritsen	1998
1167	0061099805	Swimming to Catalina	Stuart Woods	1998
1168	0064405842	Catherine, Called Birdy (Trophy Newbery)	Karen Cushman	1995
1169	0425192733	Portrait of a Killer: Jack the Ripper-- Case Closed (Berkley True Crime)	Patricia Cornwell	2003
1170	0553575104	In Pursuit of the Proper Sinner	Elizabeth George	2000
1171	0451403703	The Hangman's Beautiful Daughter	Sharyn McCrumb	1993
1172	0767915054	A Girl Named Zippy: Growing Up Small in Mooreland Indiana (Today Show Book Club #3)	HAVEN KIMMEL	2002
1173	0452284449	The Virgin Blue	Tracy Chevalier	2003
1174	0446610542	The Bachelor (Warner Books Contemporary Romance)	Carly Phillips	2002
1175	0425132951	The House of Thunder	Dean R. Koontz	1993
1176	0451188454	The Bone Collector (Lincoln Rhyme Novels (Paperback))	Jeff Deaver	2004
1177	1558745718	Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul)	Jack Canfield	1998
1178	0425176932	Breaking Point (Tom Clancy's Net Force, No. 4)	Steve Perry	2000
1179	0425117383	At Risk	Alice Hoffman	1989
1180	0345413881	Dr. Death (Alex Delaware Novels (Paperback))	Jonathan Kellerman	2001
1181	0553289691	SKINNY LEGS AND ALL	TOM ROBBINS	1991
1182	0812550757	Speaker for the Dead (Ender Wiggins Saga (Paperback))	Orson Scott Card	1994
1183	0679721886	The Woman Warrior : Memoirs of a Girlhood Among Ghosts	MAXINE HONG KINGSTON	1989
1184	3423202327	MÃ?ÃÂ¶rder ohne Gesicht.	Henning Mankell	1999
1185	0312986343	Visions of Sugar Plums: A Stephanie Plum Holiday Novel	Janet Evanovich	2004
1186	0425125467	Harmful Intent	Robin Cook	2001
1187	0446530077	Find Me	Rosie O'Donnell	2002
1188	0451170385	Four Past Midnight	Stephen King	2001
1189	0425151875	Tom Clancy's Op-Center: Games of State (Tom Clancy's Op Center (Paperback))	Tom Clancy	1996
1190	0373218958	Less Of A Stranger (Silhouette Single Title)	Nora Roberts	2003
1191	006016848X	Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships	John Gray	1992
1192	0671727583	Smart Women	Judy Blume	1990
1193	0821769278	Plain Jane	Fern Michaels	2002
1194	0515133302	Hemlock Bay	Catherine Coulter	2002
1195	0446532452	The Wedding	Nicholas Sparks	2003
1196	0425173534	Ssn	Tom Clancy	2000
1197	042510107X	Red Storm Rising	Tom Clancy	1997
1198	0452283027	Farm Fatale: A Comedy of Country Manors	Wendy Holden	2002
1199	0375726349	The Human Stain : A Novel	PHILIP ROTH	2001
1200	0312966806	Tell Me Lies (Tell Me Lies)	Jennifer Crusie	1999
1201	0446613053	The Crush	Sandra Brown	2003
1202	055357258X	The Last Suppers	DIANE MOTT DAVIDSON	1995
1203	0446607274	Angels Flight (Detective Harry Bosch Mysteries)	Michael Connelly	2000
1204	0451204530	Code to Zero	Ken Follett	2001
1205	006098824X	Getting Over It	Anna Maxted	2001
1206	0060505885	The Scandalous Summer of Sissy LeBlanc : A Novel	Loraine Despres	2002
1207	0515116068	Hidden Riches	Nora Roberts	2004
1208	0446603716	Hide &amp; Seek	James Patterson	1996
1209	0440193613	Wanderlust	Danielle Steel	1987
1210	0440235774	Looking Back	Belva Plain	2002
1211	0373825013	Whirlwind (Tyler, Book 1)	Nancy Martin	1992
1212	0671741209	Stranger Is Watching	Mary Higgins Clark	1991
1213	0671880314	Schindler's List	Thomas Keneally	1993
1214	0812967240	It's My F---ing Birthday : A Novel	MERRILL MARKOE	2002
1215	1551665301	Book Club	Mary Alice Monroe	1999
1216	0345452569	A Cold Heart (Alex Delaware Novels (Paperback))	JONATHAN KELLERMAN	2003
1217	0440127793	Galapagos	Kurt, Jr. Vonnegut	1986
1218	0385502532	Drowning Ruth	Christina Schwarz	2000
1219	0380722704	Charms for Easy Life	Kaye Gibbons	1994
1220	0553263226	The Bourne Supremacy	Robert Ludlum	1987
1221	0373218397	Summer Pleasures	Nora Roberts	2002
1222	0020442203	Lion, the Witch and the Wardrobe	C.S. Lewis	1970
1223	0671001132	DEAD BY SUNSET : DEAD BY SUNSET	Ann Rule	1996
1224	0671793535	A Rose For Her Grave &amp; Other True Cases (Ann Rule's Crime Files)	Ann Rule	1993
1225	0671868691	Bitter Harvest	Ann Rule	1999
1226	0375414053	I Don't Know How She Does It: The Life of Kate Reddy, Working Mother	Allison Pearson	2002
1227	0441001971	Circus of the Damned (Anita Blake Vampire Hunter (Paperback))	Laurell K. Hamilton	1995
1228	0440222842	Five Days in Paris	DANIELLE STEEL	1997
1229	0316789976	The Weight of Water : A Novel Tag - Author of Resistance and Strange Fits of Passion	Anita Shreve	1997
1230	0671519816	Inca Gold (Clive Cussler)	Clive Cussler	1995
1231	0061097861	Hunting Badger (Joe Leaphorn/Jim Chee Novels)	Tony Hillerman	2000
1232	0679433740	Paradise	Toni Morrison	1998
1233	0375703063	A Virtuous Woman (Oprah's Book Club (Paperback))	Kaye Gibbons	1997
1234	0060934913	Kitchen Confidential: Adventures in the Culinary Underbelly	Anthony Bourdain	2001
1235	0679736042	Toujours Provence (Vintage Departures)	Peter Mayle	1992
1236	0156005891	Eden Close	Anita Shreve	1998
1237	0446360589	The Burden of Proof	Scott Turow	1991
1238	0446802204	Master of the Game	Sidney Sheldon	1983
1239	0786889551	The Pied Piper	Ridley Pearson	1999
1240	044023574X	After the Fire	Belva Plain	2001
1241	0553580221	False Memory	Dean R. Koontz	2000
1242	0064471047	The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)	C. S. Lewis	1994
1243	0312958129	Coming Home	Rosamunde Pilcher	1996
